1,5,234.2
1,6,1045.75
1,7,4938.5
1,8,23151.5
1,9,107620.0
2,5,464.2
2,6,2068.0
2,7,9845.0
2,8,45007.0
3,5,649.6
3,6,3031.0
3,7,15140.5
3,8,67970.5
4,5,858.6
4,6,4045.0
4,7,19665.0
4,8,89989.5
5,5,1065.0
5,6,5051.75
5,7,24407.5
5,8,115800.0
6,5,1280.4
6,6,6092.75
6,7,29563.0
6,8,134715.0
7,5,1495.6
7,6,7075.5
7,7,34344.5
8,5,1704.8
8,6,8120.75
8,7,39165.0
9,5,1919.6
9,6,9135.0
9,7,44180.0
10,5,2128.8
10,6,10125.5
10,7,49172.0
11,5,2338.0
11,6,11197.75
11,7,53977.0
12,5,2565.6
12,6,12176.75
12,7,59710.0
13,5,2765.4
13,6,13179.0
13,7,65092.0
14,5,2983.8
14,6,14240.0
14,7,68781.5
15,5,3273.8
15,6,15238.25
15,7,74202.5
16,5,3395.6
16,6,16236.75
16,7,78531.5
17,5,3629.6
17,6,17363.75
17,7,83430.0
18,5,3820.0
18,6,18225.75
18,7,88445.0
19,5,4047.8
19,6,19255.25
19,7,94514.0
20,5,4256.6
20,6,20288.75
20,7,98328.0
21,5,4468.8
21,6,21287.25
21,7,103242.0
22,5,4684.2
22,6,22660.0
22,7,109466.5
23,5,4896.2
23,6,23678.0
23,7,114443.0
24,5,5149.0
24,6,24302.0
24,7,119583.0
25,5,5314.2
25,6,25316.0
25,7,124801.0
